Area_Name,Postal_code
Sangir Bathara,12601
Mallote,12502
Bees Bagla,12503
Reera Bazar,12550
Raikot,12571
Dhirkot,12600
Kanyati,12601
Hans Chowki,12601
Makhyala,12601
Paddor Master Khan,12601
Jhala Bazar,12601
Jolie Cheer,12601
Ghani Abad,12601
Chamyati,12631
Rangla Apo,12610
Sohawa Sharif,12621
Kohala,13000
Seri Bandi,12621
Chamankot,12630
Donga Kahutter,12621
Isakhumari,12639
Chirala,12620
Dana Kachilli,13020
Ambore,13101
Sikandar Abad,12621
Muzaffarabad Gpo,13100
Kundi,12639
Rajpothi,13021
Bhan,13001
Cherh,12351
Kottarala,13021
Masina Kalan,13101
Langarpura,13101
Rara,13101
Pattan Khurd,13101
Saran,13151
Majhorte,13101
Nambal,13101
Tarrachh Bazar,13101
Dhanni Bore,13101
Khunbandi,13101
Soi Bazar,13101
Garahi Dupatta,13150
Jessoa Bazar,13101
Chirkpura,13101
Pattan Kalan,13101
Pakgali,12351
Shujahabad,12351
Mong Bajri,12470
Salolbandi,13101
Nagri Mujahidabad,13101
Qulian Bazar,13101
Majoohan,13101
Phulair Bazar,13101
Koomi Kot,13151
Kakarwara,13151
Leepa,13161
Jhand Gran,13151
Azizabad,12311
Chikar,13170
Dachore Miran,13151
Noon Bagla,13171
Sulmia,13171
Pajja Sharif,13171
Mushtamba,13171
Rahim Kot,13171
Reshian,13181
Lamnia,13181
Chenari,13190
Hattian Bala,13180
Jandali Janoobi,13171
Phagwan Dopatta,13151
Mera Khurd,13171
Chattian,13151
Maira Saru,13171
Sharian,13181
Saidpur,13201
Pattika,13210
Gujarbandi,13191
Rajpain,13201
Chokothi,13191
Devlian,13211
Kahuri,13200
Battal,13201
Saryan,13201
Bat Dara,13211
Kunkian,13211
Behari,13211
Athmaqam,13230
Dudnial,13231
Bhalgran,13221
Kel,13231
Machira,13211
Jura Bazar,13221
Dosute,13231
Kutton,13231
Kundal Shah,13231
Samagial,14101
Chilas (Lsg),14100
Sharda,13231
Gunner Form,14101
Sargan,13231
Thore,14101
Lawat,13231
Dawarian,13231
Phulwaih,13231
Neelam,13231
Bunji,14200
Harcho,14201
Lower Doyan,14201
Astore,14300
Gudai,14301
Dashkin,14201
Jaglot Tangir,14101
Tharisling,14301
Minimarg,14301
Rampur,14301
Gultari (Seasonal),14301
Mir Malik,14301
Rattu,14301
Pakora,14301
Nomal,15101
Jutal,15101
Gilgit Gpo,15100
Chilam,14400
Bubar,15101
Darela Bala,14301
Gurikot,14301
Ghulapur,15101
Peena,14301
Singal,15101
Jagir Basin,15101
Rahimabad,15101
Minawar,15101
Khangrol,14301
Karnah,13220
Gumari,14101
Shyrote,15101
Jaglote Sai,15101
Jutial,15150
Sher Qilla,15101
Sassi,15101
Ashkomen,15201
Khalti,15301
Immit,15201
Naltar,15101
Chhashi,15301
Sumal,15201
Phander,15301
Gupis,15300
Yasin,15301
Qurqulti,15301
Pingal,15301
Chatore Khand,15201
Gulddas,15201
Gahkooch,15200
Harf,15301
Burkulti,15301
Sindhi,15301
Sumayar,15601
Mina Pin,15401
Thole,15401
Sikandarabad,15400
Aliabad,15600
